Movie,Year,Genre,Actors,Director(s),Producer(s),Writer(s),Musician(s),Poet(s),Singer(s),Cinematogrpahy,Others
Babul da Wehra, 1999-11-19, Action film,"Meera, Shaan, Moamar Rana, Babar Ali, Sana, Sardar Kemal",Kaifee,M. Sarwar,?,Zulfiqar Ali,?,?,?,
Sala Bigra Jaye, 1999-11-19, Family drama,"Saima, Shaan, Mohsin Khan, Sana, Ajab Gul, Nargis, Sardar Kemal",Wajid Ali Nashad,Shehzad Gujjar,?,Saeed Rana,?,?,?,
Da Sar Wa Zaro Mar Nahi, 1999-12-03, Family drama,"Saba, Badar Munir, Asif Khan, Suneeta Khan, Nemat Sarhadi",Munir Khan,Mohsin Butt,?,Jalal Sarhadi,?,?,?,
Hawwa Ki Beti, 1999-12-03, Family drama,"Sapna, Izhar Qazi, Nargis, Nawaz Khan, Humayun Qureshi",Tahir Rizvi,Toqir Ahmad Bhatti,?,Moin Bobby,?,?,?,
Gustakh Akhian, 1999-12-10, Family drama,"Naila Raza, Aamir Farid, Asad, Rukhsana, Humayun Qureshi",M. Hanif,S.A. Gul,?,Zulfiqar Ali,?,?,?,
Da Zulm Bazar, 2000-01-09, Family drama,"Alisha, Badar Munir, Jahangir Khan, Afshan, Nemat Sarhadi",Qaisar Sanober,Saeed Anwar Beg,?,Ali Haidar,?,?,?,
Tortham, 2000-01-09, Family drama,"Anchal, Shahid Khan, Badar Munir, Nemat Sarhadi",Inayat Ullah Khan,Lala Sardar Khan,?,Fazal Rabbi Pardesi,?,?,?,
Bali Jatti, 2000-01-09, Action film,"Saima, Shaan, Moamar Rana, Sana, Izhar Qazi, Sabira Sultana",Masood Butt,Chodhary Meraj Din,?,Zulfiqar Ali,?,?,?,
Jagg Mahi, 2000-01-09, Family drama,"Sana, Shaan, Anjuman, Saud, Nargis, Rembo, Ghulam Mohayuddin",Parvez Rana,Farman Illahi,?,Tafoo,?,?,?,
Angaray, 2000-01-09, Family drama,"Saima, Shaan, Moamar Rana, Mustafa Qureshi, Deeba, Nirma",Syed Noor,Yasin Butt/M.Aslam,?,M. Arshad,?,?,?,
Ghar Kab Aao Gay, 2000-01-09, Family drama,"Saima, Shaan, Noor, Zeeshan, Sikandar, Meera, Ehsan Khan, Sana Babar Ali",Iqbal Kashmiri,Shehzad Gul,Shehzad Gul-Rasheed Sajid,Amjad Bobby,?,"Shazia Manzoor, Asma Lata",?,
Peengan, 2000-02-04, Family drama,"Anjuman, Saud, Sana, Babu Ali, Irfan Khoost, Sardar Kemal",Kaifee,Arshad Ali Waraich,?,Zulfiqar Ali,?,?,?,
Ham Khilari Pyar Kay, 2000-02-11, Romantic film,"Neeli, Shaan, Sana, Arbaz, Mohsin Khan, Syed Kemal",Iqbal Kashmiri,M. Rafi Akhtar,?,Wajahat Attray,?,?,?,
Long Da Lashkara, 2000-02-18, Action film,"Reema, Shaan, Nargis, Shafqat, Bahar, Sardar Kemal",Altaf Hussain,Haji Faqir Mohammad,?,Zulfiqar Ali,?,?,?,
Yaar Chann Warga, 2000-02-18, Action film,"Saima, Shaan, Saud, Reema, Nargis, Bahar, Naghma, Asad Bukhari, Shafqat Cheema, Tanzeem Hassan, Anwar Khan, Babbu Baral, Irfan Khoost, Altaf Khan",Shahid Rana,"Malik Imdad Ali, Malik Imran Ali",?,Wajahat Attray,?,Naseebo Lal..,?,
Ghulam, 2000-03-17, Family drama,"Nazo, Badar Munir, Asif Khan, Suneeta, Nemat Sarhadi",Naseem Khan,Naseem Khan,?,Fazal Rabbi Pardesi,?,?,?,
Yaar Badshah, 2000-03-17, Action film,"Saima, Shaan, Nargis, Saud, Deeba, Ghulam Mohayuddin",Parvez Rana,M. Ilyas Kashmiri Pappu,?,Tafoo,?,?,?,
Jungle Queen, 2000-03-17, Family drama,"Saima, Moamar Rana, Saira Khan, Jan Rambo, Khushbu, Nawaz Khan, Shafqat",Syed Noor,Safdar Khan/Safdar Malik,?,M. Arshad,?,?,?,
Mujhay Chand Chahiye, 2000-03-17, Family drama,"Noor, Shaan, Moamar Rana, Reema, Atiqa Odho, Javed Sheikh",Shaan,Tanvir Fatima,?,Ronaq Ali,?,?,?,
Pehchan, 2000-03-17, Family drama,"Saima, Shaan, Reema, Saud, Sana, Shafqat",Masood Butt,Sheikh M. Akram,?,M. Ashraf,Parvez Kaleem,?,?,
Pasand, 2000-04-21, Family drama,"Reema, Babar Ali, Khushboo, Rembo, Shafqat, Afzal",Altaf Hussain,Iftikhar Ahmad,?,M. Arshad,?,?,?,
Gabhru Punjab da, 2000-04-28, Action film,"Nazo, Shafqat Cheema, Shehzadi, Tanzeem Hassan, Tariq Shah",Shehzad Ali,Haji Mohammad Siddiq,Rafiq Ahmad,"Zulfiqar Ali, Safdar Ali","Khawaja Parvez, Mohammad Ali Khaki, Lal Shah Rizvi, Akram Khayal","Noorjahan, Azra Jahan, Shaheen Kanwal, Rafi Akhtar",M. Yaqoob,
Sangdil, 2000-05-05, Family drama,"Saima, Shaan, Moamar Rana, Reema, Saud, Naghma, Shafqat",Masood Butt,Shan Mustafa Ilyas Kashmiri,?,M. Ashraf,?,?,?,
Reshma, 2000-05-12, Family drama,"Sana, Moamar Rana, Resham, Sardar Kemal, Shafqat Cheema, Mustafa Qureshi, Afshan Qureshi, Afzal Khan, Nayyar Ejaz, Tariq Shah, Naghma",Sangeeta,Naveed Akbar Butt,Mohammad Parvez Kaleem,Wajahat Attray,Saeed Gilani,"Humaira Channa, Naseebo Lal, Saira Naseem, Nazim Ali",Riaz Butt,
Dil Se Na Bhulana, 2000-05-12, Family drama,"Meera, Saud, Rembo, Sahiba, Laila, Nazo, Arshad Bukhari",Nazar Shabab,Arshad Abbas Bukhari,?,M. Arshad,?,?,?,
Khuda kay Chor, 2000-05-19, Action film,"Saima, Shaan, Saud, Babar, Reema, Nadeem, Badar",Parvez Rana,Imran Hussaini,?,M. Ashraf,?,?,?,
Billi, 2000-06-21, Family drama,"Noor, Arbaz Khan, Saima, Nadeem, Meera, Saud, Ehsan Khan, Sonu",Syed Noor,Mian Arshad,?,M. Arshad,?,?,?,
Banarsi Chor, 2000-06-23, Action film,"Saima, Saud, Reema, Ghulam Mohayuddin, Abid Ali, Nargis, Bahar",Masood Butt,Hanif A.Rashid,?,Tafoo,?,?,?,
Love in Holland, 2000-07-21, Family drama,"Laila, Ehsan Khan, Ateeq, Mustafa Qureshi, Naghma",Saleem Chodhary,M. Saleem Chodhary,?,Wajid Ali Nashaad,?,?,?,
Jatti Da Vair, 2000-07-28, Action film,"Anjuman, Saud, Moamar Rana, Nargis, Afzal, Humayun",Parvez Rana,Aziz-ur-Rehman,?,Tafoo,?,?,?,
Waada, 2000-07-28, Family drama,"Saima, Saud, Noor, Nargis, Moamer Rana, Rembo, Afzal, Naghma",Hasnain,Chodhary Mohammad Arif,Basheer Niaz,M. Ashraf,?,?,Parvez Khan,
Sharang Da Bangroo, 2000-08-11, Action film,"Alisha, Shahid Khan, Saba Kazmi, Sabira Sultana",Qaisar Sanober,Lala Sardar Khan,?,Ali Haidar,?,?,?,
Sultana Daku, 2000-08-11, Action film,"Saima, Shaan, Sana, Zeeshan, Tariq Shah, Adeeb, Bahar, Nayyar Ejaz, Adeeb, Majeed Zarif",Sangeeta,"Ejaz Kamran, Jabbar Khan",Parvez Kaleem,M. Ashraf,Riazur Rehman Saghar,?,Riaz Butt,
No Paisa No Problem, 2000-08-11, Family drama,"Noor, Hamyun Saeed, Sana, Nirma, Fakhre Alam, Abid Kan",Faisal Bukhari,S.A. Gul,?,M. Arshad,?,?,?,
Mehndi Walay Hath, 2000-08-25, Family drama,"Saima, Moamar Rana, Abid Ali, Irfan Khoost, Shafqat Cheema",Syed Noor,Syed Noor,Rukhsana Noor-Syed Noor,Zulfiqar Ali,?,Naseebo Lal,?,
Shesawar, 2000-09-01, Family drama,"Saba, Badar Munir, Asif Khan, Kiran, Nemat Sarhadi",Saba Shaheen,Aziz Jahangir Khani,?,S. Sunny,?,?,?,
Kahan Hay Qanoon, 2000-09-08, Action film,"Saima, Shaan, Resham, Saud, Nirma, Bahar, Shafqat",Hassan Askari,Nawazish Ali Khan,?,M. Ashraf,?,?,?,
Lakhon mein Ek, 2000-09-15, Family drama,"Saima, Moamar Rana, Babar Ali, Abid Ali",Syed Noor,Ahad Malik,?,M. Arshad,?,?,?,
Marvi, 2000-09-22, Family drama,"Marvi, Faisal Qureshi, Ismail Tara, Nosheen, Mustafa Qureshi",Faisal Ejaz,Faisal Ejaz,?,Wajid Ali Nashaad,?,?,?,
Billu 420, 2000-09-29, Family drama,"Reema, Moamar Rana, Saima, Nargis, Babar Ali, Jan Rambo",Masood Butt,Jamshed Zafar,?,M. Ashraf,?,?,?,
Mr. Faradiye, 2000-10-06, Comedy film,"Meera, Shaan, Saud, Sana, Arbaz Khan, Deedar, Sardar Kemal",Zahoor Hussain Geelani,Tariq Saeed,?,M. Arshad,?,?,?,
Banarsi, 2000-10-13, Family drama,"Alisha, Shahid Khan, Imran Khan, Jahangir Khan",Qaisar Sanober,Lala Sardar Ahmad,?,Ali Haidar,?,?,?,
Nooran, 2000-10-13, Family drama,"Saima, Moamar Rana, Babar Ali, Bahar, Shafqat Cheema, Mustafa Qureshi, Sardar Kamal, Azhar Rangeela, Khalifa Nazir",Iqbal Kashmiri (also screenplay),Mohammad Javed Sadiq,Iqbal Kashmiri (dialogues: Tanvir Kazmi),Wajahat Attray,"Khawaja Parvez, Saeed Gilani, Aqeel Rubi","Humaira Channa, Naseebo Lal, Saira Naseem, Saima Jahan",Farooq Butt,
Beti, 2000-10-13, Family drama,"Saima, Babar Ali, Moamar Rana, Sana, Jan Rambo, Nirma, Mustafa Qureshi, Humayun Qureshi",Syed Noor,Fyaz Khan,?,M. Arshad,?,?,?,
Barood, 2000-10-20, Family drama,"Reema, Shaan, Moamar Rana, Resham, Khushbu, Sardar Kemal",Suhail Khan,Zulfiqar Khan,?,M. Arshad,?,?,?,
Ishtehari Gujjar, 2000-10-27, Action film,"Saima, Shaan, Moamar Rana, Shafqat, Babar",Parvez Rana,Khadim Hussain,?,Tafoo,?,?,?,
Abhi Nahin To Kabhi Nahin, 2000-10-27, Family drama,"Saima, Shaan, Moamar Rana, Mishi Khan, Shahid, Humayun",Roniq Ali,M. Saleem Qureshi,?,Nazir Ali,?,?,?,
Da Qudrat Shaan, 2000-11-03, Family drama,"Shehzadi, Saeed Munir, Kaleem Khan, Bakhtiar",Saeed Ali Khan,Gul Akbar Afridi,?,S. Sunny,?,?,?,
Lazawal, 2000-11-03, Family drama,"Sana, Babar Ali, Suad, Arbaz Khan, Khushboo, Ghulam Mohayuddin, Hamayun Qureshi, Adeeb, Sardar Kamal, Azhar Rangeela",Shahid Mehrban,Waqar Piya,?,Zulfiqar Ali,?,Anwar Rafi,?,
Mehbooba, 2000-11-10, Family drama,"Noor, Arbaz Khan, Nazo, Asif Khan, Tariq Shah",Saeed Ali Khan,Shehzad Gujjar,?,Ali Afzal,?,?,?,
Meri Touba, 2000-11-17, Family drama,"Neeli, Javed Sheikh, Shahida Mini, Nargis, Deeba, Talish",M.A. Rasheed,M.A. Rashid,?,M. Ashraf,?,?,?,
Doneojam, 2000-12-28, Family drama,"Alisha, Shahid Khan, Durdana Rehman, Saba Kazmi, Imran",Naseem Khan,Lala Sardar Khan,?,Ali Haidar,?,?,?,
Driver Cleander, 2000-12-28, Family drama,"Shehnaz Khan, Badar Munir, Asif Khan, Nemat Sarhadi, Saba Shaheen",Imran Khan,Shehnaz Begum,?,Jahanzeb,?,?,?,
Jashan, 2000-12-28, Family drama,"Nazo, Badar Munir, Babra Raj, Jahangir Khan, Nemat Sarhadi",Naseem Khan,Ikram Gujjar,?,Jalal Sarhadi,?,?,?,
Khandani Badmash, 2000-12-28, Action film,"Nazo, Badar Munir, Asif Khan, Liaqat Major, Nemat Sarhadi",Naseem Khan,Gul Akbar Afridi,?,Jahanzeb Noshervi,?,?,?,
Khonray, 2000-12-28, Family drama,"Saba, Badar Munir, Tariq Shah, Nadir Khan",Nawaz Khan,Tariq Shah,?,Jahanzeb,?,?,?,
Mazdoor, 2000-12-28, Family drama,"Suneeta Khan, Badar Munir, Kamran, Zumurrud, Nemat Sarhadi",Nawaz Khan,Adnan Khan,?,S. Sunny,?,?,?,
Paktho Ba Zaganam, 2000-12-28, Family drama,"Saba, Badar Munir, Shahid Khan, Alisha, Nemat Sarhadi",Qaisar Sanober,Lala Sardar Khan,?,Ali Haidar,?,?,?,
Sar Da Dopatta, 2000-12-28, Action film,"Shehzadi, Badar Munir, Asif Khan, Nagina, Nemat Sarhadi",Nasir Raza Khan,Gul Akbar Afridi,?,Jalal Sarhadi,?,?,?,
Ghulam, 2000-12-28, Family drama,"Saima, Shaan, Moamar Rana, Meera, Bahar, Shafqat",Masood Butt,Saleem Sarwar Jora,?,M. Arshad,?,?,?,
Jagg Wala Mela, 2000-12-28, Family drama,"Saima, Shaan, Shafqat Cheema, Tariq Shah, Bahar, Heera Malik, Natasha",Parvez Rana,Chodhary Mohammad Ilyas Pappu,Mohammad Kemal Pasha,Tafoo,"Saeed Geelani, Altaf Bajwa","Naseebo Lal, Saira Naseem",Irshad Bhatti,
Teray Pyar Mein, 2000-12-28, Romantic & musical film,"Zara Sheikh, Shaan, Noor, Veena Malik, Sabira Sultana, Raja Riaz, Irfan Khoost, Khalid Butt, Badar Munir, Nawaz",Hassan Askari,Shehzad Gul,"Raja Riaz Khan, Rasheed Sajid",Amjad Bobby,Ahmad Aqeel Rubi,"Saira Naseem, Asima Lata, Touseef Daar",?,
Aag ka Darya, 2000-12-28, Family drama,"Noor, Babar Ali, Shaan, Sana, Zeeshan Sikandar, Nirma, Jan Rambo, Nadia",Iqbal Kashmiri,Najam Malik,Rasheed Sajid,Wajahat Attray,?,?,?,
Jan Teray Naam, 2001-01-19, Family drama,"Reema, Babar Ali, Saud, Javed Sheikh, Mega, Humayun",Sajjad Rizvi,M. Yousuf Dar,?,M. Ashraf,?,?,?,
Rukhsati, 2001-01-26, Family drama,"Meera, Moamar Rana, Resham, Ghulam Mohayuddin, Jiya Ali",Shehzad Rafiq,Shehzad Rafiq,?,M. Arshad,?,?,?,
Dil Kach da Khadona, 2001-02-02, Romantic film,"Saima, Moamar Rana, Resham, Nargis, Rembo, Shafqat Cheema",Syed Noor,Shan Mustafa,?,Zulfiqar Ali,?,?,?,
Meri Pukar, 2001-02-09, Family drama,"Reema, Shaan, Saud, Noor, Sana, Zeeshan Sikandar",Parvez Rana,M. Afzal Malik,?,Zulfiqar Ali,?,?,?,
Badmash Puttar, 2001-02-16, Action film,"Saima, Shaan, Saud, Reema, Rembo, Humayun",Hassan Askari,M. Shabbir,?,Tafoo/Zulfiqar,?,?,?,
Body Guard, 2001-03-06, Family drama,"Nazo, Badar Munir, Alisha, Nemat Sarhadi, Jahangir Khan Jani",Naseem Khan,Naseem Khan,?,Jalal Sarhadi,?,?,?,
Leontob, 2001-03-06, Family drama,"Saba, Shahid Khan, Asif Khan, Durdana Rehman",Inayat Ullah Khan,Lala Sardar/Arshad Khan,?,Ali Haidar,?,?,?,
Paisa Khabreko, 2001-03-06, Family drama,"Alisha, Asif Khan, Arif, Badar Munir, Umar Daraz",Qaisar Sonober,Saeed Anwar Beg,?,Farrukh Zeb,?,?,?,
Allah Badshah, 2001-03-06, Family drama,"Saima, Shaan, Babar Ali, Sana, Shafqat Cheema",Parvez Rana,Meraj Din,?,Tafoo,?,?,?,
Daket, 2001-03-06, Family drama,"Saima, Shaan, Moamar Rana, Raza, Babar Ali, Resham",Syed Noor,Javed Waraich,?,M. Arshad,Syed Noor,?,?,
Hukumat, 2001-03-06, Family drama,"Saima, Shaan, Reema, Sana, Zeeshan Sikandar, Noor, Javed Sheikh, Shafqat Cheema, Humayun Qureshi",Masood Butt,Sheikh Akram,?,M. Arshad,?,?,?,
Musalman, 2001-03-06, Family drama,"Sana, Shaan, Babar Ali, Zeba Bakhtiar, Arbaz Khan, Meera, Javed Sheikh, Shafqat Cheema",Iqbal Kashmiri,Haji M.Shafiq,?,Wajahat Attray,?,?,?,
Janwar, 2001-04-06, Family drama,"Noor, Arbaz, Megha, Sabira Sultana, Batin, Farooqi",Rasheed Dogar,Zaheeruddin Babar,?,Wajid Ali Nashaad,?,?,?,
Sajan ka Pyar, 2001-04-13, Family drama,"Khushbu, Imran Sheikh, Faisal Qureshi, Iram Tahir, Naghma, Adeeb, Shafqat Cheema, Qaisar Mastana",Mohammad Arshad Qureshi,"Imran Ali Sheikh, Mohammad Arshad Qureshi",Mohammad Wajid Zubairi,"Ashfaq Ali, Nadeem Abbas","Nasir Ali, Afzal Hashmi",A. Nayyar..,Rizwan Ahmad,
Mukhra Chann Warga, 2001-04-20, Family drama,"Saima, Shaan, Moamar Rana, Reema, Humayun",Masood Butt,Safdar Khan/Safdar Malik,?,Zulfiqar Ali,?,?,?,
Khoye Ho Tum Kahan, 2001-04-27, Romantic film,"Meera, Ajab Gul, Babur Ali, Deeba, Naghma",Ajab Gul,Saqib Khan,?,Zain,"Ajab Gul, Ejaz Arman","Zain, Asima Lata",?,
Meray Mehboob, 2001-05-04, Family drama,"Resham, Shaan, Sana, Saud, Shehzad Ghaffoor",Sangeeta,Abdul Ghaffoor,?,M. Arshad,?,?,?,
Gharana, 2001-05-11, Family drama,"Resham, Babar Ali, Megha, Saud, Meera, Shahid, Chandni, Arbaz Khan, Khushbu, Ehsan",Sangeeta,Sangeeta/Noreen,?,Wajid Ali Nashaad,?,?,?,
Raka, 2001-05-18, Family drama,"Saima, Lucky, Khushboo, Ghulam Mohayuddin, Nargis, Masood Akhtar, Babbu Barral, Nayyar Ejaz",Tanvir Ahmad,Tanvir Ahmad,?,M. Arshad,?,?,?,
Khatarnak Qaidi, 2001-05-25, Family drama,"Nazo, Badar Munir, Nadir, Nemat Sarhadi, Nayab",Mumtaz Ali Khan,Amir Khan Bangish,?,Ali Haidar,?,?,?,
Khanzada, 2001-05-25, Action film,"Saima, Shaan, Babar Ali, Khushbu, Nirma, Shafqat",Akram Khan,Akram Khan,?,Tafoo,?,?,?,
Nizam Lohar, 2001-05-25, Biographical film,"Sana, Saud, Noor, Nargis, Asif Khan",Hasnain,M. Sarwar,?,Zulfiqar Ali,?,?,?,
Toofan Mail, 2001-06-22, Action film,"Saima, Shaan, Noor, Saud, Meera, Nargis",Younis Malik,Javed Hafeez,?,Zulfiqar Ali,?,?,?,
Aasoo Billa, 2001-06-29, Action film,"Sana, Shaan, Nargis, Babar Ali, Humayun Qureshi, Tariq Shah, Adeeb, Naghma, Afzal Khan, Abid Ali, Anwar Khan",Hasnain (also story & screenplay),Mohammad Younis,Mohammad Parvez Kaleem (dialogs),"Zulfiqar Ali, Chhaku Lehri","Khawaja Parvez, Saeed Gilani","Noorjahan, Azra Jahan, Humaira Channa, Saira Naseem",Khalid Abbas,?
Choorian Nahin Hathkarian, 2001-07-06, Family drama,"Saima, Saud, Reema, Moamer Rana, Arbaz Khan, Shafqat",Syed Noor,Bao Afzal Butt,?,M. Arshad,?,?,?,
Munda Rang Rangeela, 2001-07-13, Family drama,"Resham, Moamar Rana, Rembo, Meera, Deedar, Bahar, Humayun Qureshi",Iqbal Ansar,Haji Iqbal Ansari,?,M. Arshad,?,?,?,
Babu, 2001-07-20, Family drama,"Zeba Bakhtiar, Saud, Zeenet Manghi, Arshad Mehmood, Lehri",Zeba Bukhtiar,Zeba Bukhtiar,?,M. Ashraf,?,?,?,
Uff Yeh Bivian, 2001-07-27, Family drama,"Saima, Moamar Rana, Reema, Resham, Rembo, Babar Ali",Syed Noor,M.Aslam/Yasin Butt,?,Arshad Mehmood,?,?,?,
Badmash, 2001-08-03, Action film,"Sana, Saud, Noor, Rembo, Deedar, Shafqat Cheema, Bahar",Rasheed Dogar,M. Ishaque,?,M. Arshad,?,?,?,
Ziddi Badmash, 2001-08-10, Action film,"Nazo, Badar Munir, Asif Khan, Kamran, Alisha",?,M. Saleem Khan,?,Jalal Sarhadi,?,?,?,
Daldal, 2001-08-10, Action film,"Reema, Shaan, Saud, Sana, Laila, Shafqat Cheema",Sangeeta,Ahsanul Haq,?,Wajid Ali Nashaad,?,?,?,
Mehar Badshah, 2001-08-17, Action film,"Yousuf Khan, Sana, Shaan, Anmol Inayat, Babar Ali, Arbaz Khan, Humayun Qureshi, Seema, Tanzeem Hassan, Azhar Rangila, Naghma, Zahir Shah, Reaheela Agha",Mohammad Said Rana,Mehar Mohammad Nazir Chodhary,Mohammad Said Rana,"Zulfiqar Ali, Ashfaq Ali, Ustad Salamat Ali","Altaf Bajwa, Saleem Zubairi, Anmol Inayat","Humaira Channa, Azra Jahan, Saima Jahan, Anwar Rafi, Hassan Sadiq, Ameer Ali, Abdul Wahid Lohar, Anmol Inayat",Naseeruddin,
Aaj ki Larki, 2001-08-24, Action film,"Resham, Shaan, Babar Ali, Nargis, Saud, Deeba, Humayun Qureshi, Afzal Khan",Nasir Addeb,Shazia Ray,?,M. Ashraf,"Saeed Gilani, Riazur Rehman Saghir, Aqeel Ruby","Shazia Manzoor, Waris Baig, Asif Mehdi",Irshad Ahmad,
Hamayun Gujjar, 2001-08-31, Action film,"Saima, Shaan, Moamar Rana, Babur Ali, Shafqat Cheema",Parvez Rana,Chodhary Khadim Hussain,?,Tafoo,?,Naseebo Lal,?,
Martay Dam Tak, 2001-08-31, Family drama,"Sonam, Umar, Amir, Kanwal, Shafqat Cheema, Zamarrud Khan",Iqbal Ali,Zed Butt,?,Shahid Kemal,?,?,?,
Zara Leoneda, 2001-09-07, Family drama,"Nazo, Shahid Khan, Asif Khan, Lashana, Saba Kazmi",Inayat Ullah Khan,Sardar Khan/Arshad Khan,?,Jalal Sarhadi,?,?,?,
Sapnay Apnay Apnay, 2001-09-07, Family drama,"Saima, Moamar Rana, Saud, Ghulam Mohayuddin, Bahar, Deeba, Irfan Khoost, Abid Khan",Syed Noor,Tariq Mehmood,?,Zulfiqar Ali,?,?,?,
Dil Deevana Hay, 2001-09-21, Family drama,"Jia Ali, Babar Ali, Moamar Rana, Nadeem",Iqbal Kashmiri,Jamshed Zafar,?,M. Arshad,?,?,?,
Charsi, 2001-09-28, Family drama,"Saba, Badar Munir, Shehzadi, Nemat Sarhadi, Amrozia",Nawaz Khan,Saba Shaheen Amrozia,?,S. Sunny,?,?,?,
Gujjar 302, 2001-09-28, Action film,"Saima, Shaan, Nazo, Babar Ali, Nawaz Khan, Shahid",M. Akram,Shokat Gujjar,?,Nazir Ali,?,?,?,
Shehanshah, 2001-10-05, Action film,"Saima, Shaan, Nawaz, Shaishta, Bahar, Shafqat",Altaf Hussain,Arif Chodhary,?,M. Ashraf,?,?,?,
Makha Jatt, 2001-10-12, Action film,"Sana, Shaan, Babar Ali, Nargis, Bahar, Raheel, Cheema",Parvez Rana,Asad Butt,?,Tafoo,?,?,?,
Baghi, 2001-10-12, Action film,"Saima, Shaan, Saud, Babar Ali, Nirma, Rashid Mehmood, Seeman",Syed Noor,Safdar Khan/Safdar Malik,?,M. Arshad,?,?,?,
Sher-e-Lahore, 2001-10-19, Action film,"Saima, Shaan, Moamar Rana, Babar Ali, Seema, Sangeeta, Shafqat Cheema",Sangeeta,Afzal Butt,?,Wajahat Attray,?,?,?,
Dama, 2001-10-26, Family drama,"Nazo, Badar Munir, Saba, Nemat Sarhadi, Asif Khan",Saleem Babu,Mohsin Butt,?,S. Sunny,?,?,?,
Ik Jagga Hor, 2001-10-26, Family drama,"Saima, Shafqat Cheema, Moamer Rana, Nawaz Khan, Sana, Reema",Hassan Askari,Adil Hassan,?,Ali Afzal,?,?,?,
Nango Nabus, 2001-11-02, Family drama,"Shehnaz Khan, Badar Munir, Alisha, Nemat Sarhadi, Asif Khan",Qaisar Sanober,Shehnaz Begum,?,Farah Zeb,?,?,?,
Ik Din Sher Da, 2001-11-02, Family drama,"Shezadi, Azam Jahangir Khan, Javed Hassan, Noor, Saud, Nargis",Javed Hassan,Azam Jahangir Khan,?,Wajahat Attray,?,?,?,
Mera Mahi, 2001-11-09, Family drama,"Reema, Saud, Sana, Babar Ali, Khushbu, Bahar, Shafqat",Kaifee,Yasin Warak,?,M. Ashraf,?,?,?,
Khabar Wohda Pakhtoda, 2001-12-17, Family drama,"Nazo, Badar Munir, Shehnaz Khan, Alisha, Nemat Sarhadi, Shehzadi",Saeed Ali Khan,Gul Akbar Afridi,?,Jahanzeb Sunny,?,?,?,
Khan Khela, 2001-12-17, Family drama,"Nazo, Badar Munir, Jahangir Khan, Nemat Sarhadi, Sher Khan",Naseem Khan,Naseem Khan,?,Ali Haidar,?,?,?,
Malang Jan, 2001-12-17, Family drama,"Nazo, Badar Munir, Shahid Khan, Asif Khan, Imran",Inayat Ullah Khan,Sardar Khan/Arshad Khan,?,Ali Haidar,?,?,?,
Sangram, 2001-12-17, Action film,"Reema, Shaan, Noor, Saud, Aeiman, Badar Munir, Babar Ali, Shafqat Cheema, Shahid",Iqbal Kashmiri,Najam Malik,Jafar Arsh,Wajahat Attray,Saeed Geelani,?,?,
Badmash Gujjar, 2001-12-17, Action film,"Saima, Shaan, Moamar Rana, Tariq Shah, Shafqat",Masood Butt,M. Ilyas Pappu,?,Tafoo,?,?,?,
Chann Puttar, 2001-12-17, Family drama,"Shehzadi, Sardar Mohammad",Imdad Hussain,Sardar Mohammad,?,Tafoo,?,Mehdi Hassan,?,
Ghunda Tax, 2001-12-17, Action film,"Saima, Shaan, Reema, Moamer Rana, Rembo, Nargis, Bahar",Parvez Rana,Shan Mustafa,?,Tafoo,?,?,?,
Doulat, 2001-12-17, Action film,"Saima, Shaan, Nirma, Batin Farooqi, Rembo, Megha",Shokat Sharif,Ejaz Haidar,?,S.A. Varma,?,?,?,
Musa Khan, 2001-12-17, Action film,"Saima, Shaan, Noor, Jan Rambo, Laila, Tariq Shah, Abid Ali, Nayyar Ejaz, Adeeb, Ahmad Mithu, Jahangir Mughal, Masood Akhtar, Hamyun Qureshi, Shafqat Cheema",Shaan,Shaan,?,Jawad Ahmad,?,"Shabnam Majeed, Jawad Ahmad, Naghmana Jaafri",?,
Shikari Haseena, 2002-01-18, Action film,"Haseena, Shaan, Babar Ali, Rembo, Shafqat Cheema",Iqbal Kashmiri,Haji A. Rashid,?,Danish Javed,?,?,?,
Geo Jatta, 2002-01-25, Action film,"Reema, Saud, Babar Ali, Nargis, Nazo, Humayun Qureshi, Bahar, Afzal Khan, Zahir Shah",Waheed Dar,Syed Zubair Hussain Shah,Tanvir Kazmi,Wajahat Attray,"Khawaja Parvez, Altaf Bajwa","Naseebo Lal, Saira Naseem, Shazia Manzoor, Zubair Shah",Naseeruddin,
Khuda Qasm, 2002-02-01, Family drama,"Reema, Saud, Amman, Asif Khan Sheikh, Nargis, Ghulam Mohayuddin",Syed Noor,M. Asif Khan,?,M. Arshad,?,?,?,
Bakhtadara, 2002-02-23, Family drama,"Nazo, Badar Munir, Saba, Manzoor, Nemat Sarhadi",Naseem Khan,Saeed Anwar Beg,?,Ali Haidar,?,?,?,
Malanga Nosar Macheera, 2002-02-23, Family drama,"Nazo, Shahid Khan, Asif Khan, Karishma, Nemat Sarhadi",Inayat Ullah Khan,Arshad Khan,?,Jalal Sarhadi,?,?,?,
Mela, 2002-02-23, Family drama,"Nazo, Badar Munir, Nemat Sarhadi, Umar Daraz, Asif Khan",Naseem Khan,Saeed Anwar Beg,?,Jalal Sarhadi,?,?,?,
Sartez Badmash, 2002-02-23, Action film,"Nazo, Badar Munir, Nemat Sarhadi, Asif Khan, Saba",Qaisar Sanober,Aziz Jahangir Khani,?,Jalal Sarhadi,?,?,?,
